P42A_298,P42A_303,P42A_313,P45B_303_2C,P45B_308_2C,P45B_313_2C,P45B_318_2C,P45B_323,P45B_303_4C,P45B_308_4C,P45B_313_4C,P45B_318_4C,P45B_323_4C
0.01679,0.015058,0.013005,0.010018667,0.009237713,0.008639442,0.008247587,0.00794008,0.010414018,0.009670258,0.009115537,0.008729511,0.008420838
0.014784,0.013498,0.011892,0.008991453,0.008394029,0.007969326,0.007650587,0.007447561,0.009509087,0.008926498,0.008497132,0.008197573,0.007987976
0.014551,0.013293,0.011714,0.008829541,0.008305232,0.007889642,0.007656309,0.0074607,0.009352578,0.008833673,0.008458032,0.008195665,0.007987022
0.014481,0.013214,0.011704,0.008708106,0.008174049,0.00784323,0.007556279,0.007395003,0.009223196,0.008737458,0.008345074,0.008092986,0.007899496
0.014439,0.013259,0.01174,0.008639442,0.008102205,0.007715437,0.00747384,0.007311503,0.009165128,0.00864866,0.008261575,0.008003235,0.007827759
0.014484,0.013295,0.011795,0.00863711,0.008135054,0.007731968,0.007466422,0.007286919,0.009173499,0.008643256,0.008273443,0.008025593,0.007826063
0.014594,0.013376,0.011867,0.008630329,0.008070416,0.007705265,0.007404115,0.007264667,0.00916481,0.008634461,0.008244726,0.007997407,0.007798725
0.014683,0.013456,0.011943,0.008632872,0.008076986,0.007657581,0.00740136,0.007207447,0.009210799,0.008662542,0.008264648,0.00798787,0.007769373
0.014876,0.01353,0.011846,0.009089364,0.008493635,0.008036507,0.007720735,0.007526186,0.009725677,0.009089258,0.008646223,0.008347511,0.008105914
0.016217,0.014558,0.012716,0.011318207,0.010164049,0.009355757,0.008891635,0.008498298,0.012113677,0.010909504,0.010091464,0.0095804,0.00917244
